ID,Team,Year,Div,Conf Rank,Div Rank,Wins,Loses,Win Per.,Playoff,PS/G,PA/G,Net
1,TOR,2019,Atlantic,2,1,58,24,0.707,1,114.4,108.4,5.49
1,PHI,2019,Atlantic,3,2,51,31,0.622,1,115.2,112.5,2.25
1,BOS,2019,Atlantic,4,3,49,33,0.598,1,112.4,108,3.9
1,BRO,2019,Atlantic,6,4,42,40,0.512,1,112.3,112.3,-0.4
1,NEW,2019,Atlantic,15,5,17,65,0.207,0,104.6,113.8,-8.93
1,TOR,2018,Atlantic,1,1,59,23,0.72,1,111.7,103.9,7.29
1,BOS,2018,Atlantic,2,2,55,27,0.671,1,104,100.4,3.23
1,PHI,2018,Atlantic,3,3,52,30,0.634,1,109.8,105.3,4.3
1,NEW,2018,Atlantic,11,4,29,53,0.354,0,104.5,108,-3.53
1,BRO,2018,Atlantic,12,5,28,54,0.341,0,106.6,110.3,-3.67
1,BOS,2017,Atlantic,1,1,53,29,0.646,1,108,105.4,2.25
1,TOR,2017,Atlantic,3,2,51,31,0.622,1,106.9,102.6,3.65
1,NEW,2017,Atlantic,12,3,31,51,0.378,0,104.3,108,-3.87
1,PHI,2017,Atlantic,14,4,28,54,0.341,0,102.4,108.1,-5.83
1,BRO,2017,Atlantic,15,5,20,62,0.244,0,105.8,112.5,-6.7
1,TOR,2016,Atlantic,2,1,56,26,0.683,1,102.7,98.2,4.08
1,BOS,2016,Atlantic,5,2,48,34,0.585,1,105.7,102.5,2.84
1,NEW,2016,Atlantic,13,3,32,50,0.39,0,98.4,101.1,-2.74
1,BRO,2016,Atlantic,14,4,21,61,0.256,0,98.6,106,-7.12
1,PHI,2016,Atlantic,15,5,10,72,0.122,0,97.4,107.6,-9.92
1,TOR,2015,Atlantic,4,1,49,33,0.598,1,104,100.9,3.1
1,BOS,2015,Atlantic,7,2,40,42,0.488,1,101.4,101.2,0.2
1,BRO,2015,Atlantic,8,3,38,44,0.463,1,98,100.9,-2.9
1,PHI,2015,Atlantic,14,4,18,64,0.22,0,92,101,-9
1,NEW,2015,Atlantic,15,5,17,65,0.207,0,91.9,101.2,-9.3
1,TOR,2014,Atlantic,3,1,48,34,0.585,1,101.3,98,3.2
1,BRO,2014,Atlantic,6,2,44,38,0.537,1,98.5,99.5,-1
1,NEW,2014,Atlantic,9,3,37,45,0.451,0,98.6,99.4,-0.8
1,BOS,2014,Atlantic,12,4,25,57,0.305,0,96.2,100.7,-4.5
1,PHI,2014,Atlantic,14,5,19,63,0.232,0,99.5,109.9,-10.5
1,NEW,2013,Atlantic,2,1,54,28,0.659,1,100,95.7,4.2
1,BRO,2013,Atlantic,4,2,49,33,0.598,1,96.9,95.1,1.8
1,BOS,2013,Atlantic,7,3,41,40,0.506,1,96.5,96.7,-0.2
1,PHI,2013,Atlantic,9,4,34,48,0.415,0,93.2,96.5,-3.3
1,TOR,2013,Atlantic,10,5,34,48,0.415,0,97.2,98.7,-1.5
109,BOS,2012,Atlantic,4,1,39,27,0.591,1,91.8,89.3,2.5
112,NEW,2012,Atlantic,7,2,36,30,0.545,1,97.8,94.7,3.2
113,PHI,2012,Atlantic,8,3,35,31,0.53,1,93.6,89.4,4.2
116,TOR,2012,Atlantic,11,4,23,43,0.348,0,90.7,94,-3.3
117,BRO,2012,Atlantic,12,5,22,44,0.333,0,93.1,99.1,-6
123,BOS,2011,Atlantic,3,1,56,26,0.683,1,96.5,91.1,5.4
126,NEW,2011,Atlantic,6,2,42,40,0.512,1,106.5,105.7,0.8
127,PHI,2011,Atlantic,7,3,41,41,0.5,1,99,97.5,1.5
132,BRO,2011,Atlantic,12,4,24,58,0.293,0,94.2,100.4,-6.2
134,TOR,2011,Atlantic,14,5,22,60,0.268,0,99.1,105.4,-6.3
139,BOS,2010,Atlantic,4,1,50,32,0.61,1,99.2,95.6,3.7
144,TOR,2010,Atlantic,9,2,40,42,0.488,0,104.1,105.9,-1.8
146,NEW,2010,Atlantic,11,3,29,53,0.354,0,102.1,105.9,-3.8
148,PHI,2010,Atlantic,13,4,27,55,0.329,0,97.7,101.6,-3.9
150,BRO,2010,Atlantic,15,5,12,70,0.146,0,92.4,101.5,-9.1
